2227ut;автобус Ивеко- 18м;14,5
42261 Е;автобус Камаз-22м;36,5
Форд транзит Bus;автобус Форд-15 М;12,7
Мерседес Бенц 0580 15rhd;автобус МВ травего-42м;30,5
Мерседес Бенц sprinter 311;автобус МБ-8м;20
Mercedes-benz sprinter 515;автобус МВ- 15M;15,3
Mercedes-benz-223602;автоб с мв-19м;15,5
Фольксваген 7hc transporter;микроавтобус 8м;9,5
Волжанин -5270-0000010-04;автобус (42места);39,5
Волжанин-527022;автобус (42места);39,5
Волжанин-52702-0000010-07;автобус 42места ;41
Волжанин-52851-0000010;автобус 45места;37
ГАЗ-22171;автобус Соболь-Б;15,5
ГАЗ-221717 4х4;автобус Соболь- Т;14,3
ГАЗ-3221;микроавтобус;17,6
ГАЗ-З2З810;автобус;17
Кавз-З976;автобус;30
Камаз-4310;вахта;37,4
Камаз-4208;вахта;37,4
Камаз-4326;нефаз-4211 1-10-1 1;31,2
МАЗ- 152.060;автобус 42м;37,8
Мерседес-313;микроавтобус(10м);11
Мерседес бенц “INTOURO”;автобус 50м;32,3
Нефаз-4208-03;вахта(дт);29,6
НЗАС-4208;вахта дт;29,6
Нефаз-4208-41;вахта КПГ;60
Нефаз-5299-11-31;автобус город кпг ;65
ПАЗ-320302-08;автобус;28,9
ПАЗ-320412-04;автобус (дт);27,8
ПАЗ-3205;автобус;34
ПАЗ-32053;автобус;32
ПАЗ-32053-07;автобус;24,4
УАЗ-2206;автобус;17,2
УАЗ-3303;автобус;17,5
Урал-32551-5013-71;вахта;32
Урал-32552-0013-61;вахта;32
Урал-42116;вахта;37,4
Урал-4320;вахта;37,4
Урал-43212;вахта;37,4
Урал-5557;вахта;37,4
Кавз 4238-22;автобус;37
Лиаз 529016;автобус;65
